ein,total_revenue,program_expenses,tax_year,efficiency_ratio
22-2703314,277401775.0,350848587.0,2023,1.2647669143429237
22-2753637,7547410.0,6952451.0,2023,0.9211704412507072
22-2807681,78117523.0,74067556.0,2023,0.9481554605872488
22-2878487,6313738.0,4808926.0,2023,0.7616606834176521
22-2904529,871456.0,1123253.0,2023,1.2889382825983182
22-2908723,1155550.0,1022424.0,2023,0.8847942538185279
22-2955702,2601602.0,2901012.0,2023,1.1150867811448484
22-2977312,12676072.0,9966159.0,2018,0.7862182385836874
22-3032009,6840267.0,3163914.0,2023,0.46254247092986284
22-3095974,945439.0,808408.0,2023,0.855060982252689
22-3111907,1066307.0,788927.0,2023,0.7398685369222935
22-3128809,1184934.0,1281790.0,2023,1.081739573680897
22-3159643,3587492.0,3266369.0,2023,0.9104881627610598
22-3265024,690134.0,747459.0,2023,1.0830635789571301
22-3380047,779601.0,774906.0,2022,0.9939776885868541
22-3425741,1501327.0,586598.0,2023,0.390719676659382
22-3553257,5739795.0,3936954.0,2024,0.6859049844114642
22-3601678,345999545.0,325550567.0,2021,0.940898829794704
22-3614788,1039071.0,1037337.0,2023,0.9983312016214484
22-3646316,8541889.0,6551017.0,2023,0.7669283691230359
22-3662556,20496254.0,17009399.0,2023,0.8298784255893784
22-3673667,1426151.0,1313859.0,2023,0.9212621945362027
23-7013134,6692308.0,9576113.0,2023,1.4309133709924886
23-7233306,16514349.0,18021216.0,2023,1.0912459219555066
23-7236840,1187328.0,1203071.0,2023,1.0132591836459681
23-7252609,12224028.0,15205918.0,2023,1.2439367776317267
23-7356030,10605403.0,10382026.0,2023,0.978937434060733
26-0190895,2139924.0,1929933.0,2023,0.9018698794910474
26-0213027,1916713.0,1868328.0,2023,0.9747562624138304
26-1116774,1402542.0,1440646.0,2023,1.0271678138693885
26-1438583,859309.0,391424.0,2023,0.4555101831820684
26-2014427,280940.0,358418.0,2023,1.2757813056168577
26-2894911,861846.0,1365999.0,2023,1.5849687763243085
